Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones,Targets_nuevo,after_P_
C=CC(=O)N1CCCCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5272747,13.2,0.9125145673751832,0.46,0.2602336578575935,0.0,0.305,C=CC(=O)N1CCCCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,479.6280000000001,7.105200000000007,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5287438,0.34,0.9125145673751832,0.46,0.2602336578575935,0.0,0.04,C=CC(=O)N1CCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,437.54700000000014,5.934900000000005,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5274514,0.55,0.9125145673751832,0.46,0.2602336578575935,0.0,0.06,C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,451.5740000000001,6.3250000000000055,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C(=O)Nc1nccc(-c2cccc(F)c2)n1,EGFR P MAPK1,CHEMBL2385993,6000.0,0.9605312347412108,0.5695,0.0052294975263015,0.0,0.06,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C(=O)Nc1nccc(-c2cccc(F)c2)n1,538.6270000000002,4.843120000000004,2.0,6.0,1.0,EGFR_P_MAPK1,MAPK1
Cc1ccc(C2=N/C(=C\c3ccc(Cl)cc3)C(=O)NN2C(=O)c2nc3c(c(C)nn3-c3ccccc3)c(=O)[nH]2)cc1,EGFR P MAPK1,CHEMBL4780210,1887.2,0.935840904712677,0.3353333333333333,0.0438092187648848,0.0,0.68,Cc1ccc(C2=N/C(=C\c3ccc(Cl)cc3)C(=O)NN2C(=O)c2nc3c(c(C)nn3-c3ccccc3)c(=O)[nH]2)cc1,564.0050000000002,4.353940000000003,2.0,7.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,EGFR P MAPK1,CHEMBL4646281,2360.0,0.9632142186164856,0.4475806451612903,0.6899796288230322,0.0,0.04,C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,486.52200000000016,5.920600000000004,3.0,3.0,1.0,EGFR_P_MAPK1,MAPK1
CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCC4CCCO4)c(C(C)C)c23)c(F)cc1F,EGFR P MAPK1,CHEMBL370266,5500.0,0.913336992263794,0.54,0.1351698621390957,0.0,0.5,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCC4CCCO4)c(C(C)C)c23)c(F)cc1F,504.4940000000004,3.893200000000003,3.0,9.0,1.0,EGFR_P_MAPK1,MAPK1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,EGFR P MAPK1,CHEMBL67003,1.8,0.9037476778030396,0.6875806451612902,0.1642472526951335,0.0,0.145,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,560.6180000000002,4.219820000000002,3.0,8.0,1.0,EGFR_P_MAPK1,MAPK1
O=C1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)CC1,EGFR P MAPK1,CHEMBL3622652,520.2,0.9202846884727478,0.21,0.2652872435868437,0.0,0.16,O=C1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)CC1,539.9950000000001,4.4932000000000025,2.0,8.0,1.0,EGFR_P_MAPK1,MAPK1
C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cc1ccc2F,EGFR P MAPK1,CHEMBL5286636,10.5,0.9198005199432372,0.45,0.2352784937225327,0.0,0.08,C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cc1ccc2F,469.56400000000014,6.464100000000005,1.0,5.0,1.0,EGFR_P_MAPK1,MAPK1
